19(B0.993 E0.533 D0.487 C0.323 A0.001)
45(C0.787 D0.619 B0.511 E0.482 A0.319)
7(D0.695 B0.525 C0.247 A0.202 E0.174)
48(A0.903 D0.785 E0.263 B0.189 C0.141)
31(E0.799 D0.694 C0.333 B0.171 A0.035)
49(C0.986 E0.976 A0.864 B0.654 D0.013)
18(D0.809 E0.766 C0.239 A0.194 B0.123)
38(C0.946 D0.483 B0.400 A0.086 E0.018)
13(C0.763 E0.363 D0.182 B0.164 A0.159)
47(B0.952 A0.890 C0.745 E0.544 D0.028)
2(A0.539 E0.240 B0.150 D0.116 C0.062)
28(D0.897 A0.489 E0.237 B0.213 C0.213)
45(E0.838 B0.644 C0.383 A0.244 D0.133)
12(E0.803 B0.271 D0.247 C0.119 A0.009)
21(A0.933 D0.865 C0.634 B0.627 E0.175)
43(D0.856 A0.550 B0.494 C0.458 E0.345)
38(B0.874 C0.537 D0.519 A0.268 E0.187)
43(D0.912 C0.257 E0.250 B0.201 A0.092)
11(E0.790 B0.522 A0.459 D0.268 C0.165)
37(A0.462 E0.420 C0.378 D0.354 B0.188)
13(C0.805 D0.696 A0.558 E0.502 B0.113)
25(B0.988 E0.961 D0.798 C0.239 A0.010)
15(E0.683 B0.626 D0.375 A0.087 C0.029)
19(C0.964 D0.935 B0.773 E0.621 A0.590)
6(B0.810 C0.806 D0.643 E0.127 A0.057)
42(C0.968 E0.752 A0.542 D0.390 B0.210)
17(B0.871 A0.752 D0.387 C0.279 E0.065)
36(A0.995 B0.841 D0.445 C0.294 E0.055)
17(E0.769 B0.681 C0.610 A0.548 D0.172)
25(C0.827 A0.806 B0.764 E0.399 D0.215)
0(D0.956 E0.933 A0.905 B0.893 C0.505)
24(E0.684 C0.631 B0.382 D0.365 A0.013)
37(B0.867 C0.803 A0.794 E0.753 D0.092)
25(A0.770 D0.653 C0.566 B0.384 E0.057)
23(B0.702 C0.574 D0.512 E0.301 A0.006)
46(C0.897 B0.557 A0.521 D0.191 E0.019)
18(D0.818 C0.717 B0.641 E0.563 A0.215)
39(E0.983 A0.816 B0.635 C0.508 D0.087)
11(D0.636 B0.565 E0.461 A0.382 C0.277)
22(E0.850 B0.716 A0.661 C0.044 D0.036)
25(B0.984 A0.937 E0.933 D0.686 C0.400)
49(D0.997 A0.944 C0.693 E0.552 B0.175)
0(A0.982 D0.813 B0.181 C0.135 E0.048)
14(C0.721 B0.464 A0.363 E0.140 D0.049)
26(B0.978 A0.956 C0.909 D0.697 E0.371)
28(A0.915 E0.704 C0.697 D0.349 B0.111)
25(C0.391 D0.187 B0.158 A0.138 E0.058)
38(C0.945 B0.827 A0.735 E0.521 D0.270)
16(B0.717 E0.669 A0.635 D0.245 C0.019)
21(C0.957 E0.946 D0.577 B0.568 A0.419)
30(B0.699 D0.658 C0.608 E0.513 A0.336)
17(A0.768 B0.764 D0.490 C0.431 E0.302)
13(C0.721 A0.475 E0.389 D0.124 B0.089)
22(A0.929 B0.922 D0.568 E0.391 C0.305)
25(B0.930 D0.894 A0.825 E0.796 C0.573)
18(E0.992 A0.128 B0.095 C0.023 D0.017)
15(A0.807 B0.582 D0.363 E0.342 C0.001)
33(B0.899 A0.702 E0.344 D0.051 C0.016)
19(E0.720 C0.646 A0.599 D0.567 B0.093)
18(C0.685 E0.650 D0.620 A0.460 B0.336)
36(A0.613 E0.412 B0.412 C0.314 D0.259)
3(E0.998 C0.952 D0.712 A0.701 B0.357)
14(A0.923 B0.721 C0.187 E0.117 D0.098)
49(B0.608 D0.595 E0.409 A0.200 C0.177)
22(D0.880 B0.709 C0.566 A0.540 E0.099)
28(D0.964 C0.953 E0.536 B0.151 A0.121)
44(B0.861 E0.824 A0.786 C0.759 D0.712)
31(B0.953 C0.746 D0.719 A0.693 E0.522)
39(D0.521 B0.358 E0.312 A0.193 C0.183)
22(A0.322 C0.292 D0.283 E0.137 B0.092)
43(A0.743 B0.542 E0.435 C0.275 D0.017)
3(B0.882 E0.831 D0.534 C0.284 A0.163)
23(E0.890 A0.677 B0.478 C0.098 D0.005)
45(A0.807 C0.807 E0.551 D0.297 B0.210)
34(A0.717 B0.682 D0.621 E0.464 C0.278)
16(D0.981 B0.589 A0.356 C0.103 E0.099)
14(A0.790 C0.781 D0.729 E0.553 B0.415)
42(D0.762 B0.522 C0.408 A0.269 E0.018)
26(C0.793 E0.790 D0.757 B0.437 A0.256)
36(E0.890 C0.718 B0.651 A0.165 D0.094)
45(E0.734 A0.676 D0.602 B0.335 C0.287)
31(B0.725 D0.538 A0.340 E0.229 C0.182)
50(C0.969 E0.870 D0.509 A0.352 B0.049)
41(A0.953 D0.751 C0.419 B0.154 E0.133)
35(C0.889 E0.772 B0.671 D0.329 A0.133)
45(C0.950 B0.640 D0.373 A0.352 E0.045)
23(D0.992 C0.867 A0.721 B0.561 E0.079)
10(B0.945 E0.878 D0.422 A0.190 C0.007)
39(D0.953 A0.847 E0.384 C0.257 B0.196)
8(C0.935 D0.789 A0.678 B0.446 E0.189)
20(C0.838 D0.764 A0.441 B0.380 E0.343)
44(C0.778 D0.672 B0.497 E0.249 A0.022)
16(A0.525 C0.358 B0.108 E0.102 D0.015)
46(C0.921 E0.457 B0.448 D0.424 A0.068)
35(B0.643 D0.553 C0.432 A0.221 E0.126)
48(C0.918 E0.518 D0.140 B0.080 A0.015)
0(C0.840 B0.437 D0.277 E0.258 A0.235)
47(E0.775 A0.655 C0.394 D0.387 B0.199)
48(B0.913 E0.688 D0.319 A0.177 C0.002)
41(D0.552 E0.452 A0.250 C0.227 B0.065)
15(E0.615 A0.515 D0.476 B0.423 C0.405)
22(D0.997 C0.994 B0.795 A0.587 E0.354)
11(A0.972 E0.956 D0.841 B0.804 C0.470)
0(D0.548 B0.530 E0.374 C0.324 A0.105)
33(A0.902 D0.558 C0.506 B0.278 E0.241)
44(B0.923 D0.887 C0.689 A0.535 E0.133)
36(E0.743 C0.442 B0.430 D0.214 A0.007)
44(E0.896 C0.723 D0.702 B0.511 A0.260)
38(D0.872 A0.819 B0.783 E0.667 C0.058)
37(C0.815 E0.550 B0.266 D0.257 A0.244)
34(B0.858 A0.815 D0.316 E0.291 C0.159)
44(C0.950 D0.666 A0.403 B0.092 E0.009)
34(A0.920 D0.894 B0.880 C0.234 E0.135)
21(E0.856 C0.847 A0.532 D0.187 B0.155)
25(D0.475 C0.180 A0.052 E0.038 B0.035)
35(D0.958 B0.883 C0.865 A0.420 E0.221)
3(B0.778 C0.386 A0.160 E0.093 D0.062)
41(C0.962 B0.880 D0.690 A0.409 E0.127)
32(C0.510 E0.488 D0.258 A0.183 B0.041)
20(D0.972 C0.795 A0.430 B0.342 E0.186)
31(C0.810 B0.695 A0.392 E0.231 D0.075)
34(E0.849 B0.645 C0.546 D0.404 A0.062)
9(B0.804 C0.692 D0.513 A0.347 E0.300)
33(B0.941 C0.524 D0.460 E0.384 A0.127)
13(E0.766 B0.676 C0.469 D0.423 A0.107)
29(A0.760 D0.609 C0.529 B0.380 E0.157)
13(C0.919 B0.885 E0.485 D0.321 A0.020)
9(B0.991 D0.858 C0.855 A0.688 E0.567)
49(E0.917 B0.796 C0.780 D0.698 A0.117)
38(B0.904 D0.626 E0.482 A0.175 C0.059)
7(D0.897 E0.604 B0.500 C0.317 A0.170)
2(D0.924 C0.710 B0.648 A0.623 E0.348)
45(D0.963 C0.795 B0.556 A0.504 E0.330)
8(E0.819 D0.728 B0.401 A0.310 C0.146)
36(E0.972 A0.839 B0.832 D0.739 C0.738)
20(B0.935 A0.849 E0.833 C0.821 D0.622)
9(D0.992 B0.726 E0.517 C0.262 A0.120)
18(A0.989 B0.952 E0.873 D0.462 C0.395)
19(C0.924 A0.765 D0.251 B0.250 E0.222)
12(D0.933 B0.922 C0.796 E0.648 A0.567)
20(A0.418 D0.406 E0.263 C0.173 B0.068)
13(D0.750 C0.528 B0.385 E0.330 A0.156)
22(D0.984 E0.931 A0.558 B0.512 C0.198)
2(C0.938 E0.438 A0.397 B0.292 D0.244)
12(A0.750 C0.736 D0.179 B0.144 E0.121)
42(C0.846 B0.808 D0.607 E0.468 A0.415)
